Material_Number,Material_Description,Material_Group,Material_Group_Desc,Material_Type,Base_UoM,Created_Date,Created_By,Plant,Industry_Sector,Deletion_Flag,HSN_SAC_Code,Classification,Standard_Price
M7452337,BEARING MECHANICAL SPARE SKF — Var 3,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,27-11-2020,USER004,BPS,M,,86367768,C,152293.5
M3653705,IRON ORE LUMPS MARKET — Var 11,1010003,IRON ORE LUMPS MARKET,ROH,TON,28-04-2020,USER004,,M,,76931444,C,66120.03
M4724835,SCRAP HEAVY MELT — Var 7,1010009,SCRAP HEAVY MELT,HALB,KG,05-06-2020,USER011,BPS,M,,96185003,C,289426.52
M7568552,IRON ORE FINES OPEN MARKET — Var 2,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,02-06-2024,USER002,JSR,M,,86079755,B,240920.54
M4193609,WELDING ELECTRODE E7018 — Var 9,3030215,WELDING ELECTRODE E7018,HALB,KG,25-05-2019,USER002,JSR,M,,88265371,B,341044.38
M9876767,COKING COAL IMPORTED AUS PREMIUM — Var 6,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,07-01-2023,USER005,ANG,M,,99077969,C,147028.41
M8434331,STATIONERY OFFICE SUPPLIES — Var 4,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,31-05-2022,USER005,,M,X,91526527,C,431276.81
M9715187,STATIONERY OFFICE SUPPLIES — Var 8,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,08-08-2019,USER010,KLN,M,,86279695,B,141637.98
M6270439,HYDRAULIC HOSE INDUSTRIAL — Var 4,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,30-08-2019,USER002,DOL,M,X,73987957,B,85098.72
M9087666,CONTRACT LABOUR PLANT MAINTENANCE — Var 6,4040301,CONTRACT LABOUR PLANT MAINTENANCE,DIEN,ACT,06-05-2020,USER001,JSR,M,,72908300,C,219798.47
M4765296,TRANSPORT INPLANT — Var 7,4040304,TRANSPORT INPLANT,ANLZ,EA,23-01-2021,USER003,VSP,M,,90541235,C,201870.89
M4835002,VALVE PNEUMATIC ACTUATOR — Var 12,3030208,VALVE PNEUMATIC ACTUATOR,ERSA,EA,02-02-2022,USER010,ANG,M,,74356504,B,368792.0
M1112756,TRANSPORT INPLANT — Var 1,4040304,TRANSPORT INPLANT,ANLZ,EA,04-04-2022,USER006,,M,,92567418,B,277255.86
M4065926,HYDRAULIC HOSE INDUSTRIAL — Var 12,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,23-01-2024,USER006,,M,,98481733,B,470530.42
M2019943,COKING COAL IMPORTED AUS PREMIUM — Var 3,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,15-07-2019,USER007,,M,,96243594,B,63934.92
M6511394,INSTRUMENTATION SENSOR PRESSURE — Var 10,3030216,INSTRUMENTATION SENSOR PRESSURE,HALB,KG,11-09-2023,USER012,,M,,89449067,B,72030.62
M4980198,DOLOMITE LUMPS — Var 8,1010006,DOLOMITE LUMPS,HALB,KG,20-07-2021,USER012,,M,,99912866,C,460388.22
M3814671,BEARING MECHANICAL SPARE TIMKEN — Var 12,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,21-12-2019,USER004,,M,,79687167,C,152292.26
M2849416,TONER CARTRIDGE LASER — Var 2,3030214,TONER CARTRIDGE LASER,HALB,KG,04-01-2024,USER010,,M,,79081298,A,164061.33
M7869337,ROLLING MILL EQUIPMENT UPGRADE — Var 3,5050403,ROLLING MILL EQUIPMENT UPGRADE,ROH,TON,24-07-2019,USER010,,M,,94145873,C,94466.47
M1007792,IRON ORE FINES OPEN MARKET — Var 6,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,08-01-2023,USER001,JSR,M,,75277583,B,150089.48
M3919928,TRANSPORT INPLANT — Var 2,4040304,TRANSPORT INPLANT,ANLZ,EA,04-07-2020,USER006,ANG,M,,93654242,B,291560.1
M9689803,WELDING ELECTRODE E7018 — Var 8,3030215,WELDING ELECTRODE E7018,HALB,KG,13-07-2020,USER005,VSP,M,,89317374,B,242220.41
M1727321,IRON ORE FINES OPEN MARKET — Var 9,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,11-01-2021,USER005,,M,,76621409,B,77249.69
M3218646,BEARING MECHANICAL SPARE TIMKEN — Var 2,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,26-09-2022,USER010,JSR,M,,84026386,A,143977.07
M5837389,PPE HELMET SAFETY — Var 10,3030211,PPE HELMET SAFETY,HALB,KG,14-10-2019,USER010,,M,,99067371,B,420943.5
M5328427,PPE HELMET SAFETY — Var 12,3030211,PPE HELMET SAFETY,HALB,KG,16-03-2020,USER003,,M,,88679970,B,135383.5
M6169486,LIMESTONE LUMPS BLAST FURNACE — Var 9,1010005,LIMESTONE LUMPS BLAST FURNACE,HALB,KG,15-05-2023,USER005,,M,,92159401,C,423591.6
M4195751,COAL THERMAL GRADE A 5K — Var 10,1010001,COAL THERMAL GRADE A 5K,ROH,TON,19-02-2019,USER006,DOL,M,,94454552,C,448622.25
M9051117,OXYGEN GAS LIQUID — Var 6,1010014,OXYGEN GAS LIQUID,HALB,KG,06-02-2020,USER005,,M,,75919196,C,314498.88
M8652788,STATIONERY OFFICE SUPPLIES — Var 3,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,17-01-2019,USER003,,M,,75018850,B,381689.78
M9407060,MILL ROLL CHOCK ASSEMBLY — Var 4,2020113,MILL ROLL CHOCK ASSEMBLY,ROH,TON,29-01-2024,USER012,JSR,M,,90489126,A,184987.81
M8945275,GRAPHITE ELECTRODE 600MM — Var 12,2020109,GRAPHITE ELECTRODE 600MM,HALB,KG,21-07-2022,USER006,DOL,M,,85957047,C,379405.11
M1448994,PELLET FEED IRON ORE — Var 9,1010008,PELLET FEED IRON ORE,ROH,TON,06-07-2023,USER006,,M,X,82551195,C,484058.33
M2025478,BEARING MECHANICAL SPARE SKF — Var 10,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,22-10-2023,USER002,,M,X,91382276,C,486298.98
M3838265,BEARING MECHANICAL SPARE SKF — Var 12,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,06-12-2023,USER008,KLN,M,,91591305,C,321938.74
M7208170,TUNDISH BOARD — Var 2,2020106,TUNDISH BOARD,HALB,KG,12-11-2020,USER007,ANG,M,,73764333,C,323733.3
M8220147,HOUSEKEEPING SERVICES MONTHLY — Var 5,4040302,HOUSEKEEPING SERVICES MONTHLY,HALB,KG,12-05-2024,USER007,VSP,M,,79529424,C,78996.48
M4130403,BEARING MECHANICAL SPARE SKF — Var 4,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,03-11-2022,USER005,,M,,93623894,B,178375.89
M8773056,DOLOMITE LUMPS — Var 4,1010006,DOLOMITE LUMPS,HALB,KG,21-01-2021,USER008,BPS,M,,80982866,A,462773.37
M9472672,NITROGEN GAS LIQUID — Var 5,1010015,NITROGEN GAS LIQUID,HALB,KG,18-05-2020,USER009,JSR,M,,83883529,B,62104.34
M7905438,COAL THERMAL GRADE A 5K — Var 7,1010001,COAL THERMAL GRADE A 5K,ROH,TON,30-05-2019,USER008,VSP,M,,96308549,A,375913.22
M1333378,PPE SAFETY BOOTS — Var 5,3030212,PPE SAFETY BOOTS,HALB,KG,16-05-2021,USER005,BPS,M,,95086337,B,113847.08
M4479126,COKING COAL IMPORTED AUS PREMIUM — Var 5,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,28-02-2022,USER007,,M,,93915348,B,13505.4
M1145223,STATIONERY OFFICE SUPPLIES — Var 3,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,20-10-2022,USER001,VSP,M,,93214232,C,406043.83
M2748719,CONTRACT LABOUR PLANT MAINTENANCE — Var 4,4040301,CONTRACT LABOUR PLANT MAINTENANCE,DIEN,ACT,13-11-2020,USER010,,M,,90652413,B,128323.98
M2636276,HYDRAULIC OIL ISO 68 — Var 10,3030204,HYDRAULIC OIL ISO 68,HALB,KG,26-06-2023,USER003,,M,,76604758,C,193826.56
M8830366,BEARING MECHANICAL SPARE TIMKEN — Var 2,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,30-06-2022,USER012,KLN,M,,86729800,A,194529.82
M2400779,TRANSPORT INPLANT — Var 10,4040304,TRANSPORT INPLANT,ANLZ,EA,06-12-2020,USER004,KLN,M,,79257296,B,78122.13
M3451829,PPE SAFETY BOOTS — Var 11,3030212,PPE SAFETY BOOTS,HALB,KG,18-03-2019,USER004,,M,,87588891,B,24208.78
M5540241,REFRACTORY CASTABLE HIGH ALUMINA — Var 2,2020102,REFRACTORY CASTABLE HIGH ALUMINA,HALB,KG,30-01-2022,USER009,,M,,74941493,B,359958.73
M6178184,BEARING MECHANICAL SPARE SKF — Var 5,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,28-03-2019,USER002,,M,,94749804,C,450984.59
M3956062,LUBRICATION OIL TURBINE — Var 7,3030206,LUBRICATION OIL TURBINE,HALB,KG,07-04-2019,USER002,,M,,90571043,A,324356.9
M8088983,COKING COAL IMPORTED AUS PREMIUM — Var 9,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,06-03-2021,USER003,JSR,M,,90134762,C,45408.8
M8945032,FERRO MANGANESE Mn78 — Var 8,1010010,FERRO MANGANESE Mn78,HALB,KG,19-03-2022,USER012,,M,,86254912,A,8701.32
M8231714,HYDRAULIC HOSE INDUSTRIAL — Var 7,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,09-09-2020,USER011,,M,,81293075,C,298428.2
M9985100,SECURITY CONTRACT PLANT — Var 11,4040308,SECURITY CONTRACT PLANT,DIEN,ACT,08-05-2023,USER002,JSR,M,,97014588,B,262429.81
M1180862,IRON ORE FINES OPEN MARKET — Var 11,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,06-01-2021,USER004,KLN,M,,73998809,B,170863.94
M6521772,WELDING ELECTRODE E7018 — Var 10,3030215,WELDING ELECTRODE E7018,HALB,KG,12-07-2023,USER002,VSP,M,,80893579,C,166091.69
M1688246,COAL THERMAL GRADE A 5K — Var 5,1010001,COAL THERMAL GRADE A 5K,ROH,TON,03-07-2020,USER007,,M,,91357142,C,69339.74
M1882740,IRON ORE FINES OPEN MARKET — Var 10,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,08-09-2019,USER006,JSR,M,,81175120,C,100758.77
M1581377,VALVE PNEUMATIC ACTUATOR — Var 7,3030208,VALVE PNEUMATIC ACTUATOR,ERSA,EA,29-09-2022,USER007,ANG,M,,98399822,C,361581.81
M8993637,PPE HELMET SAFETY — Var 8,3030211,PPE HELMET SAFETY,HALB,KG,02-01-2024,USER008,KLN,M,,92848910,C,251582.2
M2660614,BEARING MECHANICAL SPARE SKF — Var 9,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,01-07-2020,USER009,,M,,90117977,C,472679.48
M6848413,FERRO CHROME HIGH CARBON — Var 5,1010013,FERRO CHROME HIGH CARBON,HALB,KG,10-11-2019,USER009,,M,,84895619,B,472627.88
M6007394,BEARING MECHANICAL SPARE SKF — Var 2,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,31-07-2023,USER005,BPS,M,,81970804,B,457799.79
M4366131,WELDING ELECTRODE E7018 — Var 2,3030215,WELDING ELECTRODE E7018,HALB,KG,27-05-2019,USER012,,M,,89619313,C,132765.68
M7998660,INSTRUMENTATION SENSOR PRESSURE — Var 6,3030216,INSTRUMENTATION SENSOR PRESSURE,HALB,KG,03-07-2022,USER004,DOL,M,,77204763,C,152869.3
M2926821,REFRACTORY RELINING SERVICE — Var 1,4040305,REFRACTORY RELINING SERVICE,HALB,KG,08-12-2019,USER001,ANG,M,,89402753,C,68982.65
M9695334,PPE HELMET SAFETY — Var 3,3030211,PPE HELMET SAFETY,HALB,KG,18-07-2023,USER002,,M,,82539616,B,333739.89
M1302091,PPE HELMET SAFETY — Var 5,3030211,PPE HELMET SAFETY,HALB,KG,05-12-2020,USER003,,M,,80999426,C,164749.44
M5568832,TRANSPORT INPLANT — Var 7,4040304,TRANSPORT INPLANT,ANLZ,EA,11-03-2019,USER001,BPS,M,,99337417,C,291906.35
M7199007,VALVE PNEUMATIC ACTUATOR — Var 11,3030208,VALVE PNEUMATIC ACTUATOR,ERSA,EA,05-09-2019,USER005,DOL,M,X,93840202,B,482001.33
M3665969,PPE HELMET SAFETY — Var 3,3030211,PPE HELMET SAFETY,HALB,KG,11-06-2021,USER004,DOL,M,,90052561,C,47227.44
M2202358,SECURITY CONTRACT PLANT — Var 8,4040308,SECURITY CONTRACT PLANT,DIEN,ACT,31-01-2020,USER002,KLN,M,,79439300,C,458369.22
M8168148,PPE SAFETY BOOTS — Var 12,3030212,PPE SAFETY BOOTS,HALB,KG,31-03-2020,USER012,KLN,M,,87420630,C,349887.05
M3166046,TRANSPORT INPLANT — Var 6,4040304,TRANSPORT INPLANT,ANLZ,EA,07-05-2021,USER008,BPS,M,,77799633,B,25632.96
M8748493,SCRAP HEAVY MELT — Var 5,1010009,SCRAP HEAVY MELT,HALB,KG,27-05-2020,USER008,DOL,M,,88636078,B,93550.06
M1986329,IRON ORE FINES OPEN MARKET — Var 6,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,07-06-2022,USER011,BPS,M,,93842723,C,303678.94
M5728180,PPE HELMET SAFETY — Var 12,3030211,PPE HELMET SAFETY,HALB,KG,12-10-2023,USER010,DOL,M,,77860237,C,317297.58
M5930560,SECURITY CONTRACT PLANT — Var 3,4040308,SECURITY CONTRACT PLANT,DIEN,ACT,13-10-2020,USER001,KLN,M,,77219436,C,87067.01
M8479991,HOUSEKEEPING SERVICES MONTHLY — Var 11,4040302,HOUSEKEEPING SERVICES MONTHLY,HALB,KG,23-09-2023,USER002,,M,,72446542,C,165475.53
M8602690,OXYGEN GAS LIQUID — Var 1,1010014,OXYGEN GAS LIQUID,HALB,KG,30-06-2021,USER001,KLN,M,,79325094,B,176223.44
M3522616,PPE HELMET SAFETY — Var 3,3030211,PPE HELMET SAFETY,HALB,KG,20-09-2023,USER006,VSP,M,,95585217,B,310196.51
M9519318,SECURITY CONTRACT PLANT — Var 11,4040308,SECURITY CONTRACT PLANT,DIEN,ACT,10-10-2019,USER012,KLN,M,,88542308,A,407000.61
M5017327,IRON ORE LUMPS MARKET — Var 9,1010003,IRON ORE LUMPS MARKET,ROH,TON,06-09-2023,USER010,VSP,M,,81054576,B,473899.07
M5672314,HYDRAULIC HOSE INDUSTRIAL — Var 10,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,17-05-2024,USER006,ANG,M,,78286771,C,5571.76
M4263962,PELLET FEED IRON ORE — Var 1,1010008,PELLET FEED IRON ORE,ROH,TON,24-05-2022,USER007,DOL,M,,75810710,C,431775.51
M6723904,GREASE INDUSTRIAL EP2 — Var 4,3030205,GREASE INDUSTRIAL EP2,HALB,KG,02-10-2021,USER008,,M,,77172077,B,72330.06
M4338299,LUBRICATION OIL TURBINE — Var 5,3030206,LUBRICATION OIL TURBINE,HALB,KG,03-11-2021,USER003,ANG,M,,85948140,C,21373.32
M3634063,BEARING MECHANICAL SPARE SKF — Var 1,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,12-04-2019,USER004,DOL,M,,90469464,B,94930.37
M7127413,WORK ROLL FORGED — Var 2,2020110,WORK ROLL FORGED,ROH,TON,20-02-2020,USER001,JSR,M,,92510846,A,281007.47
M7338267,BEARING MECHANICAL SPARE TIMKEN — Var 4,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,27-02-2022,USER004,JSR,M,,78904218,C,95536.67
M8726920,GREASE INDUSTRIAL EP2 — Var 8,3030205,GREASE INDUSTRIAL EP2,HALB,KG,29-02-2020,USER009,,M,,88217248,A,224177.67
M1085400,IRON ORE LUMPS MARKET — Var 4,1010003,IRON ORE LUMPS MARKET,ROH,TON,06-09-2020,USER005,KLN,M,,97511703,C,4107.74
M5862755,IRON ORE FINES OPEN MARKET — Var 6,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,17-11-2023,USER003,,M,,94740286,B,459870.87
M1953016,WELDING ELECTRODE E7018 — Var 1,3030215,WELDING ELECTRODE E7018,HALB,KG,10-08-2020,USER004,KLN,M,,76392623,B,243482.28
M1031800,FERRO SILICON FeSi75 — Var 8,1010012,FERRO SILICON FeSi75,HALB,KG,18-05-2024,USER002,,M,,73403622,C,418991.22
M8341498,REFRACTORY CASTABLE HIGH ALUMINA — Var 12,2020102,REFRACTORY CASTABLE HIGH ALUMINA,HALB,KG,05-07-2020,USER008,DOL,M,,85249601,C,462623.77
M1147073,BEARING MECHANICAL SPARE SKF — Var 3,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,06-08-2019,USER011,DOL,M,,82121795,B,303267.98
M7346755,IRON ORE FINES OPEN MARKET — Var 12,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,25-12-2023,USER004,,M,,83513424,B,145486.07
M1922453,MOULD FLUX POWDER — Var 1,2020107,MOULD FLUX POWDER,HALB,KG,14-04-2022,USER001,,M,,86289454,C,248537.43
M8896784,PUMP CENTRIFUGAL 5HP — Var 6,3030210,PUMP CENTRIFUGAL 5HP,HALB,KG,21-11-2021,USER003,KLN,M,,95213124,B,293807.27
M5145809,HYDRAULIC OIL ISO 68 — Var 4,3030204,HYDRAULIC OIL ISO 68,HALB,KG,01-04-2021,USER007,BPS,M,,90237950,B,244400.52
M4901576,PPE SAFETY BOOTS — Var 8,3030212,PPE SAFETY BOOTS,HALB,KG,24-06-2020,USER002,,M,,82425505,B,186491.87
M2443899,CONSULTANCY ENGINEERING DESIGN — Var 9,4040307,CONSULTANCY ENGINEERING DESIGN,HALB,KG,29-06-2019,USER001,JSR,M,,88714818,A,76170.36
M8653488,INDUCTION MOTOR 30KW SPARE — Var 11,3030207,INDUCTION MOTOR 30KW SPARE,ERSA,EA,07-02-2024,USER010,,M,,93954593,C,366674.12
M9558539,TRANSPORT INPLANT — Var 9,4040304,TRANSPORT INPLANT,ANLZ,EA,19-03-2019,USER011,VSP,M,,79287922,B,424586.92
M3735938,LUBRICATION OIL TURBINE — Var 2,3030206,LUBRICATION OIL TURBINE,HALB,KG,22-03-2020,USER004,,M,X,99396202,C,132050.52
M4898050,SCRAP HEAVY MELT — Var 10,1010009,SCRAP HEAVY MELT,HALB,KG,24-04-2023,USER009,JSR,M,,82572266,A,397784.11
M6996242,QUARTZITE BLAST FURNACE — Var 3,1010007,QUARTZITE BLAST FURNACE,HALB,KG,19-06-2020,USER012,,M,,73405080,B,345319.49
M3018363,TONER CARTRIDGE LASER — Var 2,3030214,TONER CARTRIDGE LASER,HALB,KG,16-07-2020,USER003,KLN,M,,79642909,C,369717.65
M7447889,PPE HELMET SAFETY — Var 12,3030211,PPE HELMET SAFETY,HALB,KG,06-08-2022,USER012,JSR,M,,72283472,A,319486.43
M4395745,BEARING MECHANICAL SPARE TIMKEN — Var 5,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,08-08-2021,USER010,DOL,M,,72706055,C,279683.64
M2196796,STATIONERY OFFICE SUPPLIES — Var 11,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,23-04-2021,USER010,ANG,M,,77314654,C,310009.21
M4201085,CONTRACT LABOUR PLANT MAINTENANCE — Var 5,4040301,CONTRACT LABOUR PLANT MAINTENANCE,DIEN,ACT,01-04-2021,USER004,ANG,M,,99212437,A,169978.6
M4812992,INTERMEDIATE ROLL — Var 2,2020112,INTERMEDIATE ROLL,ROH,TON,19-05-2021,USER002,BPS,M,,78022788,A,413099.25
M1815763,HYDRAULIC HOSE INDUSTRIAL — Var 11,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,22-06-2022,USER010,VSP,M,,87360750,C,362141.78
M1414188,TONER CARTRIDGE LASER — Var 4,3030214,TONER CARTRIDGE LASER,HALB,KG,30-10-2022,USER009,,M,,88363864,C,290028.87
M1291647,STATIONERY OFFICE SUPPLIES — Var 4,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,11-07-2022,USER007,DOL,M,,99747370,B,265392.39
M9140981,VALVE PNEUMATIC ACTUATOR — Var 5,3030208,VALVE PNEUMATIC ACTUATOR,ERSA,EA,17-01-2024,USER002,DOL,M,,96744241,A,336653.12
M5006460,OXYGEN GAS LIQUID — Var 4,1010014,OXYGEN GAS LIQUID,HALB,KG,08-03-2020,USER006,,M,,86005842,B,478403.4
M2914194,PPE SAFETY BOOTS — Var 5,3030212,PPE SAFETY BOOTS,HALB,KG,12-07-2022,USER007,,M,,76004326,C,117145.29
