PR_Number,PR_Item,PR_Creation_Date,Plant,Purchase_Group,Material_Group,PR_Release_Date,PR_Requisitioner_Name,PR_Total_Value,Delivery_Date,PR_Approver
100006319,60,24-03-2025,JSR,P01-CENTRAL,1010002,02-04-2025,User369,2368481.88,18-05-2025,Approver8
100007003,70,29-08-2025,JSR,P02-CENTRAL,1010006,02-09-2025,User305,251758.98,29-09-2025,Approver13
100007047,20,10-08-2024,ANG,P02-CENTRAL,1010007,13-08-2024,User436,178019.38,21-09-2024,Approver11
100015079,30,18-11-2024,VSP,P60-VSP,4040308,20-11-2024,User809,293484.43,29-12-2024,Approver8
100008064,20,11-09-2024,KLN,P01-CENTRAL,1010015,13-09-2024,User593,309182.86,17-10-2024,Approver11
100013297,80,23-09-2024,VSP,P60-VSP,3030214,27-09-2024,User755,2767.07,17-10-2024,Approver5
100008421,80,07-09-2024,BPS,P01-CENTRAL,2020105,09-09-2024,User554,1915324.14,11-10-2024,Approver10
100006880,70,31-10-2024,ANG,P01-CENTRAL,1010005,06-11-2024,User841,607352.66,24-11-2024,Approver14
100006624,30,25-05-2025,DOL,P02-CENTRAL,1010004,01-06-2025,User720,589795.17,12-06-2025,Approver1
100007340,20,04-03-2025,VSP,P01-CENTRAL,1010009,09-03-2025,User888,1118092.38,12-04-2025,Approver8
100009529,10,30-10-2024,BPS,P40-BPS,3030203,31-10-2024,User362,6747.96,25-11-2024,Approver6
100009536,20,16-09-2024,JSR,P11-JSR,3030203,21-09-2024,User450,6687.21,25-10-2024,Approver15
100013434,20,18-09-2025,KLN,P20-KLN,3030214,25-09-2025,User923,2891.19,14-10-2025,Approver11
100006790,70,01-12-2024,DOL,P01-CENTRAL,1010004,02-12-2024,User815,846801.05,19-01-2025,Approver15
100009038,40,16-11-2024,KLN,P20-KLN,3030201,18-11-2024,User910,16246.58,05-12-2024,Approver15
100015107,40,22-12-2025,BPS,P40-BPS,4040308,24-12-2025,User948,141933.45,09-02-2026,Approver19
100007632,50,04-12-2024,ANG,P02-CENTRAL,1010011,07-12-2024,User233,661865.74,01-01-2025,Approver5
100008226,90,16-10-2024,BPS,P01-CENTRAL,2020102,17-10-2024,User833,569221.4,19-11-2024,Approver7
100008447,30,03-11-2024,BPS,P02-CENTRAL,2020106,04-11-2024,User360,238847.74,21-11-2024,Approver4
100006764,20,21-08-2025,KLN,P02-CENTRAL,1010004,10-09-2025,User953,2579418.03,22-09-2025,Approver14
100007881,20,08-12-2024,VSP,P01-CENTRAL,1010014,10-12-2024,User257,652976.12,17-01-2025,Approver19
100012183,80,04-07-2024,DOL,P50-DOL,3030212,13-07-2024,User746,3597.32,14-08-2024,Approver15
100007296,10,25-06-2025,ANG,P01-CENTRAL,1010008,05-07-2025,User791,1362620.71,12-08-2025,Approver16
100008918,40,31-05-2025,ANG,P30-ANG,3030201,08-06-2025,User558,21081.17,22-06-2025,Approver3
100006331,30,10-11-2024,KLN,P01-CENTRAL,1010003,11-11-2024,User290,632600.87,10-01-2025,Approver12
100007453,60,09-03-2025,JSR,P02-CENTRAL,1010009,20-03-2025,User309,1234305.82,03-04-2025,Approver11
100006648,10,22-06-2025,VSP,P02-CENTRAL,1010004,12-07-2025,User749,1047173.7,18-08-2025,Approver3
100013700,40,06-11-2025,ANG,P30-ANG,3030215,11-11-2025,User350,1249.45,04-12-2025,Approver2
100006316,90,05-06-2025,ANG,P02-CENTRAL,1010002,09-06-2025,User784,1541574.16,14-07-2025,Approver8
100012910,30,08-10-2025,KLN,P20-KLN,3030213,12-10-2025,User740,665.51,03-11-2025,Approver11
100012654,60,28-01-2025,BPS,P40-BPS,3030213,31-01-2025,User570,484.93,14-03-2025,Approver12
100009795,80,02-12-2025,ANG,P30-ANG,3030203,07-12-2025,User944,12354.09,22-12-2025,Approver1
100014147,10,03-10-2025,DOL,P50-DOL,4040301,07-10-2025,User692,315229.97,27-11-2025,Approver6
100014731,20,02-01-2025,VSP,P60-VSP,4040304,09-01-2025,User572,508263.67,01-03-2025,Approver4
100011319,90,11-07-2025,VSP,P60-VSP,3030208,12-07-2025,User933,34148.23,04-08-2025,Approver17
100014720,40,10-07-2024,BPS,P40-BPS,4040304,17-07-2024,User420,197004.19,03-08-2024,Approver12
100009622,20,04-09-2025,ANG,P30-ANG,3030203,10-09-2025,User671,8098.2,09-10-2025,Approver18
100006322,60,01-09-2025,DOL,P01-CENTRAL,1010002,09-09-2025,User483,1080268.32,13-10-2025,Approver10
100013949,20,26-01-2025,JSR,P10-JSR,3030216,28-01-2025,User129,49517.53,13-03-2025,Approver20
100006971,10,05-02-2025,DOL,P01-CENTRAL,1010006,06-02-2025,User464,268612.54,12-03-2025,Approver15
100009425,70,10-01-2025,KLN,P20-KLN,3030202,12-01-2025,User409,30376.15,01-02-2025,Approver9
100013276,40,26-09-2025,ANG,P30-ANG,3030214,10-10-2025,User655,4478.77,21-11-2025,Approver4
100015175,50,15-09-2024,DOL,P02-CENTRAL,5050403,16-09-2024,User212,32710116.22,14-10-2024,Approver16
100006568,80,06-12-2024,BPS,P02-CENTRAL,1010004,17-12-2024,User277,1056773.14,13-01-2025,Approver8
100014596,80,24-09-2024,VSP,P60-VSP,4040304,08-10-2024,User740,391417.83,09-11-2024,Approver14
100013615,20,10-11-2024,VSP,P60-VSP,3030215,12-11-2024,User915,5536.16,27-11-2024,Approver20
100006669,80,08-10-2024,VSP,P02-CENTRAL,1010004,10-10-2024,User849,11932.0,06-11-2024,Approver9
100009246,70,11-05-2025,KLN,P20-KLN,3030202,13-05-2025,User899,13065.72,14-07-2025,Approver13
100011640,40,04-10-2024,DOL,P50-DOL,3030211,11-10-2024,User863,1328.3,28-11-2024,Approver12
100012030,90,15-11-2025,KLN,P20-KLN,3030211,12-12-2025,User713,1278.34,23-01-2026,Approver17
100006933,50,30-10-2025,VSP,P01-CENTRAL,1010005,07-11-2025,User748,307040.04,11-12-2025,Approver8
100006077,90,27-08-2025,VSP,P02-CENTRAL,1010001,07-09-2025,User994,2302178.31,08-10-2025,Approver6
100007923,30,10-07-2025,JSR,P02-CENTRAL,1010014,15-07-2025,User770,4225.26,21-08-2025,Approver8
100012774,90,18-03-2025,JSR,P11-JSR,3030213,21-03-2025,User985,1151.78,08-05-2025,Approver2
100008730,30,04-05-2025,ANG,P01-CENTRAL,2020113,05-05-2025,User639,354338.22,03-06-2025,Approver12
100008623,80,24-08-2024,JSR,P02-CENTRAL,2020109,29-08-2024,User790,3205651.31,06-10-2024,Approver12
100007157,20,03-05-2025,ANG,P01-CENTRAL,1010008,07-05-2025,User874,1533618.18,29-06-2025,Approver4
100009095,60,20-09-2025,VSP,P60-VSP,3030201,22-09-2025,User378,15847.94,21-10-2025,Approver2
100008880,60,10-10-2025,ANG,P30-ANG,3030201,13-10-2025,User422,19682.42,07-11-2025,Approver19
100008482,10,11-10-2024,BPS,P02-CENTRAL,2020106,12-10-2024,User490,374226.98,03-11-2024,Approver11
100014287,40,23-06-2024,DOL,P50-DOL,4040302,16-07-2024,User538,170871.56,02-09-2024,Approver18
100008953,40,07-12-2025,JSR,P11-JSR,3030201,14-12-2025,User744,31731.31,07-01-2026,Approver8
100006941,50,23-03-2025,JSR,P01-CENTRAL,1010006,29-03-2025,User426,381697.66,12-04-2025,Approver4
100008112,70,01-08-2025,VSP,P01-CENTRAL,1010015,10-09-2025,User141,485698.22,31-10-2025,Approver1
100006094,10,29-05-2025,VSP,P01-CENTRAL,1010001,02-06-2025,User499,3501294.38,20-06-2025,Approver19
100012460,80,08-01-2025,ANG,P30-ANG,3030212,09-01-2025,User508,1101.53,23-01-2025,Approver4
100006287,70,19-11-2025,ANG,P01-CENTRAL,1010002,25-11-2025,User928,1393933.82,29-12-2025,Approver12
100013110,50,09-11-2024,VSP,P60-VSP,3030213,11-11-2024,User927,2005.45,21-11-2024,Approver1
100014092,80,15-08-2025,VSP,P60-VSP,4040301,20-08-2025,User738,323855.89,03-10-2025,Approver14
100010246,60,18-05-2025,DOL,P50-DOL,3030204,02-06-2025,User194,11308.13,10-07-2025,Approver14
100009280,20,01-04-2025,BPS,P40-BPS,3030202,09-04-2025,User874,20589.94,21-05-2025,Approver20
100014673,50,16-07-2025,BPS,P40-BPS,4040304,22-07-2025,User301,206838.83,04-09-2025,Approver14
100012575,90,06-03-2025,KLN,P20-KLN,3030212,07-03-2025,User883,3709.1,29-03-2025,Approver3
100008250,90,23-03-2025,BPS,P02-CENTRAL,2020102,27-03-2025,User434,1117456.23,16-04-2025,Approver13
100009028,80,09-10-2025,KLN,P20-KLN,3030201,14-10-2025,User659,21902.07,29-11-2025,Approver2
100010862,90,27-07-2025,DOL,P50-DOL,3030206,07-08-2025,User869,27946.19,08-09-2025,Approver15
100006249,40,09-07-2025,JSR,P01-CENTRAL,1010002,10-07-2025,User361,3539841.84,25-08-2025,Approver13
100007544,70,20-12-2024,ANG,P01-CENTRAL,1010010,26-12-2024,User203,375437.24,15-01-2025,Approver11
100009871,90,28-09-2024,VSP,P60-VSP,3030203,16-10-2024,User882,5626.79,17-12-2024,Approver15
100014998,30,16-06-2025,JSR,P10-JSR,4040308,18-07-2025,User797,258629.73,16-08-2025,Approver1
100006766,30,31-10-2025,BPS,P01-CENTRAL,1010004,07-11-2025,User628,878982.42,11-01-2026,Approver2
100013752,90,01-10-2025,ANG,P30-ANG,3030215,02-10-2025,User252,7385.81,11-11-2025,Approver5
100006048,20,26-04-2025,DOL,P01-CENTRAL,1010001,15-05-2025,User280,2140798.21,06-07-2025,Approver8
100006762,30,25-04-2024,KLN,P01-CENTRAL,1010004,10-07-2024,User947,1480245.21,23-08-2024,Approver10
100011213,20,05-07-2024,ANG,P30-ANG,3030208,06-07-2024,User101,49841.28,20-08-2024,Approver10
100012021,10,08-08-2025,JSR,P10-JSR,3030211,12-08-2025,User779,1950.06,03-09-2025,Approver9
100008933,80,30-07-2025,BPS,P40-BPS,3030201,31-07-2025,User300,13321.54,14-08-2025,Approver17
100007804,20,18-12-2025,BPS,P02-CENTRAL,1010013,22-12-2025,User607,787573.99,04-02-2026,Approver1
100008847,40,18-02-2025,DOL,P50-DOL,3030201,20-02-2025,User382,13366.54,23-03-2025,Approver13
100013760,70,07-11-2025,VSP,P60-VSP,3030215,12-11-2025,User134,3510.04,24-01-2026,Approver10
100014055,20,12-09-2025,VSP,P60-VSP,3030216,30-09-2025,User163,40519.27,29-10-2025,Approver15
100014825,70,26-10-2025,ANG,P30-ANG,4040305,31-10-2025,User540,4760027.85,21-11-2025,Approver4
100012109,70,20-10-2024,KLN,P20-KLN,3030211,25-10-2024,User315,982.24,01-12-2024,Approver6
100011859,10,19-02-2025,ANG,P30-ANG,3030211,12-03-2025,User568,3781.81,22-03-2025,Approver12
100014665,10,04-05-2025,JSR,P11-JSR,4040304,12-05-2025,User145,516084.85,26-06-2025,Approver10
100011242,30,08-05-2025,ANG,P30-ANG,3030208,10-05-2025,User747,25471.99,29-05-2025,Approver9
100011730,10,27-03-2025,KLN,P20-KLN,3030211,01-04-2025,User111,1711.87,07-05-2025,Approver9
100014911,40,02-10-2024,BPS,P40-BPS,4040308,08-10-2024,User978,394541.85,25-11-2024,Approver15
100012556,10,19-11-2024,JSR,P11-JSR,3030212,20-11-2024,User613,2898.76,13-12-2024,Approver10
100014628,80,30-04-2025,DOL,P50-DOL,4040304,07-05-2025,User409,334295.57,27-05-2025,Approver20
100007407,60,17-11-2025,JSR,P02-CENTRAL,1010009,23-11-2025,User471,408900.15,12-12-2025,Approver16
100006638,80,03-09-2024,BPS,P02-CENTRAL,1010004,18-09-2024,User110,698867.68,01-11-2024,Approver5
100012068,70,27-03-2025,ANG,P30-ANG,3030211,31-03-2025,User541,690.34,04-05-2025,Approver14
100014920,70,19-04-2025,VSP,P60-VSP,4040308,24-04-2025,User689,146561.12,14-05-2025,Approver19
100014382,20,09-11-2024,VSP,P60-VSP,4040302,14-11-2024,User620,340037.69,17-12-2024,Approver12
100007889,20,08-12-2025,JSR,P02-CENTRAL,1010014,11-12-2025,User827,551625.5,31-12-2025,Approver1
100011840,30,22-05-2025,VSP,P60-VSP,3030211,05-06-2025,User901,662.31,23-07-2025,Approver17
100014956,60,19-12-2024,KLN,P20-KLN,4040308,25-12-2024,User958,242344.14,31-01-2025,Approver1
100006458,20,03-01-2025,DOL,P02-CENTRAL,1010003,19-01-2025,User958,2875230.33,19-02-2025,Approver9
100009942,30,06-03-2025,KLN,P20-KLN,3030203,08-03-2025,User740,17931.89,04-05-2025,Approver4
100007143,10,01-08-2024,VSP,P01-CENTRAL,1010008,08-08-2024,User448,2037749.11,26-09-2024,Approver9
100010437,30,08-11-2024,KLN,P20-KLN,3030205,12-11-2024,User107,9900.52,03-01-2025,Approver1
100010837,30,15-09-2025,JSR,P10-JSR,3030206,17-09-2025,User225,27574.8,05-11-2025,Approver19
100008993,10,14-04-2025,DOL,P50-DOL,3030201,10-05-2025,User139,10375.23,30-05-2025,Approver18
100008652,50,19-01-2025,VSP,P02-CENTRAL,2020110,26-01-2025,User630,9154428.45,28-02-2025,Approver18
100009275,40,02-12-2024,VSP,P60-VSP,3030202,03-12-2024,User965,16871.84,05-01-2025,Approver18
100010421,90,12-07-2025,JSR,P10-JSR,3030205,13-07-2025,User342,8224.55,25-07-2025,Approver13
100006361,40,08-05-2025,VSP,P01-CENTRAL,1010003,10-05-2025,User508,1485571.56,29-05-2025,Approver9
100006587,50,19-02-2025,BPS,P02-CENTRAL,1010004,03-03-2025,User405,1249650.75,23-04-2025,Approver4
100013660,60,19-09-2025,ANG,P30-ANG,3030215,23-09-2025,User994,3064.43,11-11-2025,Approver2
100007741,90,13-11-2025,KLN,P02-CENTRAL,1010012,21-11-2025,User655,135277.17,13-12-2025,Approver15
100008247,60,18-08-2024,BPS,P01-CENTRAL,2020102,19-08-2024,User292,408603.31,01-10-2024,Approver14
100009126,10,07-07-2025,DOL,P50-DOL,3030201,08-07-2025,User434,10589.6,08-08-2025,Approver12
100006564,60,20-06-2025,VSP,P02-CENTRAL,1010004,21-06-2025,User604,1666331.52,05-07-2025,Approver1
100008535,20,26-05-2025,BPS,P02-CENTRAL,2020107,28-05-2025,User721,733290.95,06-06-2025,Approver1
100011445,70,23-10-2025,JSR,P11-JSR,3030210,31-10-2025,User296,43042.43,25-12-2025,Approver1
100010199,60,25-12-2024,ANG,P30-ANG,3030204,26-12-2024,User879,22398.8,20-01-2025,Approver3
100012278,90,28-07-2024,JSR,P11-JSR,3030212,05-08-2024,User162,2949.78,17-09-2024,Approver10
100014905,50,02-02-2025,VSP,P60-VSP,4040307,09-02-2025,User429,1295640.26,17-03-2025,Approver12
100010985,80,30-10-2025,JSR,P10-JSR,3030207,31-10-2025,User692,78611.63,20-12-2025,Approver9
100014766,50,14-03-2025,ANG,P30-ANG,4040304,16-03-2025,User233,172595.77,21-04-2025,Approver11
100010819,10,22-05-2025,JSR,P11-JSR,3030206,02-06-2025,User539,36821.87,05-07-2025,Approver8
100007430,30,29-01-2025,BPS,P01-CENTRAL,1010009,01-02-2025,User486,1799380.1,21-02-2025,Approver16
100007112,70,03-09-2025,KLN,P01-CENTRAL,1010007,30-09-2025,User151,156023.43,23-10-2025,Approver4
100013305,30,29-04-2025,VSP,P60-VSP,3030214,30-04-2025,User368,4017.91,14-06-2025,Approver4
100011677,50,16-05-2025,BPS,P40-BPS,3030211,02-06-2025,User848,1301.58,18-07-2025,Approver12
100009258,30,05-09-2024,VSP,P60-VSP,3030202,12-09-2024,User454,24306.52,05-10-2024,Approver8
100012614,70,13-12-2025,BPS,P40-BPS,3030213,18-12-2025,User674,540.77,05-02-2026,Approver20
100014191,50,09-10-2025,ANG,P30-ANG,4040301,13-10-2025,User595,1047873.85,28-10-2025,Approver11
100008685,10,03-11-2024,BPS,P01-CENTRAL,2020112,04-11-2024,User102,6438631.31,16-11-2024,Approver1
100009621,40,04-10-2024,BPS,P40-BPS,3030203,25-10-2024,User199,9693.84,28-11-2024,Approver18
100013178,50,19-02-2025,JSR,P10-JSR,3030214,21-02-2025,User863,8403.74,14-03-2025,Approver4
100013032,60,03-07-2024,DOL,P50-DOL,3030213,13-07-2024,User607,1046.07,26-08-2024,Approver11
100011165,20,16-05-2025,BPS,P40-BPS,3030208,14-06-2025,User596,9982.43,17-07-2025,Approver19
100007916,70,17-07-2024,BPS,P02-CENTRAL,1010014,23-07-2024,User414,590036.08,03-09-2024,Approver12
100012309,20,02-06-2025,JSR,P10-JSR,3030212,22-06-2025,User190,3203.66,04-08-2025,Approver5
100013839,70,13-03-2025,DOL,P50-DOL,3030215,16-03-2025,User148,3739.77,11-04-2025,Approver20
100008222,50,06-07-2024,VSP,P02-CENTRAL,2020102,10-07-2024,User249,555227.1,30-08-2024,Approver9
100012687,40,17-10-2025,VSP,P60-VSP,3030213,20-10-2025,User373,650.61,07-11-2025,Approver11
100011690,40,05-03-2025,ANG,P30-ANG,3030211,08-03-2025,User251,2353.41,01-05-2025,Approver18
100011122,60,17-01-2025,BPS,P40-BPS,3030208,28-01-2025,User900,45872.71,08-04-2025,Approver2
100014442,40,14-05-2025,KLN,P20-KLN,4040302,16-05-2025,User194,94817.05,28-06-2025,Approver3
100009291,60,11-10-2025,BPS,P40-BPS,3030202,18-10-2025,User999,9306.69,09-11-2025,Approver5
100008577,60,12-10-2025,VSP,P01-CENTRAL,2020108,18-10-2025,User448,189242.06,18-11-2025,Approver16
100008580,90,25-06-2025,VSP,P01-CENTRAL,2020108,29-06-2025,User140,331071.44,17-08-2025,Approver1
100009949,90,30-07-2024,ANG,P30-ANG,3030203,10-08-2024,User927,7137.43,07-09-2024,Approver11
100006709,10,24-02-2025,BPS,P02-CENTRAL,1010004,04-03-2025,User841,783099.46,16-04-2025,Approver4
100012307,10,04-01-2025,KLN,P20-KLN,3030212,08-01-2025,User817,1340.97,27-01-2025,Approver13
100008246,10,30-11-2025,JSR,P02-CENTRAL,2020102,08-12-2025,User521,742697.23,28-12-2025,Approver12
100010052,40,05-10-2024,VSP,P60-VSP,3030204,23-10-2024,User389,6498.35,07-12-2024,Approver19
100012253,30,11-09-2024,DOL,P50-DOL,3030212,12-09-2024,User870,4317.31,19-10-2024,Approver10
100011405,70,18-09-2025,VSP,P60-VSP,3030209,23-09-2025,User149,265605.82,25-10-2025,Approver8
100012199,80,24-11-2024,KLN,P20-KLN,3030212,26-11-2024,User309,6686.15,28-12-2024,Approver2
100011551,50,21-04-2025,VSP,P60-VSP,3030210,29-04-2025,User507,40936.68,22-06-2025,Approver6
100007594,50,07-07-2025,JSR,P01-CENTRAL,1010011,20-07-2025,User499,430295.51,20-09-2025,Approver11
100014463,20,07-01-2025,JSR,P10-JSR,4040302,15-01-2025,User760,237621.8,08-03-2025,Approver17
100011021,90,15-10-2024,VSP,P60-VSP,3030207,17-10-2024,User691,77789.02,04-12-2024,Approver12
100008073,90,23-06-2025,JSR,P02-CENTRAL,1010015,24-06-2025,User391,306050.58,17-07-2025,Approver4
100011577,40,18-11-2024,KLN,P20-KLN,3030210,22-11-2024,User756,41919.83,18-12-2024,Approver14
100007264,90,17-05-2025,DOL,P02-CENTRAL,1010008,19-05-2025,User177,1130492.77,17-06-2025,Approver12
100011689,80,12-12-2024,JSR,P11-JSR,3030211,17-12-2024,User798,771.18,30-01-2025,Approver10
100009036,10,26-02-2025,JSR,P11-JSR,3030201,11-03-2025,User979,19109.84,24-04-2025,Approver13
100009012,90,21-02-2025,KLN,P20-KLN,3030201,07-03-2025,User849,43878.93,21-04-2025,Approver19
100015012,30,17-07-2025,JSR,P10-JSR,4040308,30-07-2025,User935,137932.44,15-08-2025,Approver2
100014197,70,04-09-2024,BPS,P40-BPS,4040301,05-09-2024,User805,280310.8,15-10-2024,Approver1
100014979,90,09-10-2025,ANG,P30-ANG,4040308,11-10-2025,User608,191583.04,06-11-2025,Approver12
100006096,30,28-10-2024,JSR,P01-CENTRAL,1010001,04-11-2024,User245,745094.06,30-11-2024,Approver2
100009838,70,31-10-2024,KLN,P20-KLN,3030203,05-11-2024,User451,10871.0,15-12-2024,Approver17
100011107,90,10-11-2024,BPS,P40-BPS,3030208,12-11-2024,User835,19148.02,28-11-2024,Approver5
100012222,90,20-09-2025,ANG,P30-ANG,3030212,22-09-2025,User491,1968.69,15-10-2025,Approver6
100013637,10,23-09-2025,KLN,P20-KLN,3030215,24-09-2025,User273,2146.56,15-10-2025,Approver17
100009778,80,12-12-2024,DOL,P50-DOL,3030203,24-12-2024,User853,11940.41,05-02-2025,Approver15
100014206,60,22-12-2025,VSP,P60-VSP,4040301,24-12-2025,User955,176104.54,05-02-2026,Approver4
100013383,30,30-10-2024,BPS,P40-BPS,3030214,05-11-2024,User115,3892.34,08-12-2024,Approver17
100008674,70,19-11-2025,VSP,P01-CENTRAL,2020111,22-11-2025,User704,9660710.92,12-12-2025,Approver17
100009481,60,06-02-2025,VSP,P60-VSP,3030202,09-02-2025,User553,20886.39,05-03-2025,Approver1
100012358,30,29-08-2024,KLN,P20-KLN,3030212,09-09-2024,User747,3021.67,01-10-2024,Approver14
100011315,70,09-08-2025,ANG,P30-ANG,3030208,12-08-2025,User426,18047.82,06-09-2025,Approver8
100009687,80,01-07-2024,JSR,P11-JSR,3030203,02-07-2024,User422,20346.86,25-08-2024,Approver3
100012822,70,20-10-2024,ANG,P30-ANG,3030213,28-10-2024,User707,752.95,22-11-2024,Approver18
100010599,80,09-10-2025,BPS,P40-BPS,3030205,10-10-2025,User405,6373.0,25-11-2025,Approver4
100009686,40,18-09-2025,KLN,P20-KLN,3030203,03-10-2025,User419,26703.75,22-10-2025,Approver10
100007154,10,29-07-2024,ANG,P01-CENTRAL,1010008,30-07-2024,User581,920319.52,09-09-2024,Approver6
100011699,40,06-11-2025,ANG,P30-ANG,3030211,09-11-2025,User964,477.58,22-11-2025,Approver14
100009412,50,03-04-2025,ANG,P30-ANG,3030202,08-04-2025,User134,45949.89,07-05-2025,Approver9
100007671,70,19-09-2024,ANG,P02-CENTRAL,1010011,22-09-2024,User897,419984.93,07-11-2024,Approver14
100006120,20,20-06-2025,JSR,P02-CENTRAL,1010001,22-06-2025,User355,3809576.06,17-07-2025,Approver6
100013546,40,25-03-2025,JSR,P10-JSR,3030215,30-03-2025,User306,6964.69,16-04-2025,Approver18
100008115,30,26-01-2025,JSR,P01-CENTRAL,1010015,29-01-2025,User590,118405.62,08-02-2025,Approver20
100013075,20,21-07-2024,DOL,P50-DOL,3030213,22-07-2024,User696,508.64,06-09-2024,Approver8
100006654,80,02-11-2024,DOL,P01-CENTRAL,1010004,03-11-2024,User635,1192445.96,15-12-2024,Approver15
100014316,70,05-05-2025,BPS,P40-BPS,4040302,07-05-2025,User926,168017.08,30-05-2025,Approver6
100012591,30,04-02-2025,KLN,P20-KLN,3030213,11-02-2025,User580,927.24,03-03-2025,Approver5
100009203,70,02-08-2024,VSP,P60-VSP,3030202,10-08-2024,User815,21722.5,14-09-2024,Approver19
100010839,60,02-05-2025,JSR,P10-JSR,3030206,06-05-2025,User300,28941.09,07-06-2025,Approver19
100008527,10,16-11-2025,BPS,P02-CENTRAL,2020107,19-11-2025,User225,788317.89,11-12-2025,Approver12
100008390,80,23-08-2024,ANG,P01-CENTRAL,2020104,27-08-2024,User335,1703454.72,21-09-2024,Approver16
100007200,90,04-01-2025,DOL,P02-CENTRAL,1010008,10-01-2025,User214,627051.74,02-02-2025,Approver4
100007795,10,19-08-2025,ANG,P02-CENTRAL,1010013,20-08-2025,User171,757551.96,17-09-2025,Approver6
100012337,50,04-11-2025,BPS,P40-BPS,3030212,13-11-2025,User425,3269.72,02-01-2026,Approver15
100012411,90,18-04-2025,VSP,P60-VSP,3030212,20-04-2025,User747,2881.35,04-08-2025,Approver4
100013397,60,06-11-2024,VSP,P60-VSP,3030214,08-11-2024,User125,4638.12,23-11-2024,Approver9
100009772,90,02-12-2025,BPS,P40-BPS,3030203,05-12-2025,User268,9998.7,09-01-2026,Approver10
100012688,40,20-10-2025,KLN,P20-KLN,3030213,30-10-2025,User574,450.23,17-12-2025,Approver19
100013353,50,11-05-2025,VSP,P60-VSP,3030214,26-05-2025,User939,5397.67,21-06-2025,Approver15
100006081,10,11-08-2025,DOL,P02-CENTRAL,1010001,15-08-2025,User257,2119709.64,31-08-2025,Approver12
100012463,10,02-11-2025,ANG,P30-ANG,3030212,05-11-2025,User815,2511.25,25-11-2025,Approver14
100011835,50,16-04-2025,KLN,P20-KLN,3030211,21-04-2025,User381,1581.2,07-07-2025,Approver3
100012670,30,01-01-2025,JSR,P10-JSR,3030213,13-01-2025,User952,786.43,27-02-2025,Approver10
100014313,70,02-09-2024,BPS,P40-BPS,4040302,21-09-2024,User825,184612.29,03-12-2024,Approver8
100011747,20,04-12-2025,JSR,P11-JSR,3030211,08-12-2025,User761,1253.2,21-12-2025,Approver18
100010751,70,20-08-2024,JSR,P11-JSR,3030206,21-08-2024,User474,33683.27,07-10-2024,Approver20
100007225,90,13-08-2025,DOL,P02-CENTRAL,1010008,17-08-2025,User350,1065168.74,03-10-2025,Approver8
100008606,10,09-10-2025,BPS,P01-CENTRAL,2020108,10-10-2025,User743,584203.72,24-10-2025,Approver18
100009015,60,24-08-2024,DOL,P50-DOL,3030201,07-09-2024,User892,17518.39,02-10-2024,Approver13
100013163,30,19-01-2025,KLN,P20-KLN,3030213,21-01-2025,User788,1240.25,23-02-2025,Approver6
100014080,30,11-03-2025,VSP,P60-VSP,4040301,18-03-2025,User521,333757.59,21-04-2025,Approver7
100010853,20,23-09-2024,BPS,P40-BPS,3030206,28-09-2024,User809,8451.27,25-10-2024,Approver8
100012391,40,19-12-2024,KLN,P20-KLN,3030212,24-12-2024,User883,3665.16,09-02-2025,Approver8
